source	map_status	expected_status	actual_status	expected_location	actual_location	query_preserved	nginx_rule_line	result
/agent	301	301	301	http://82.146.60.212/contacts/?utm_source=test	http://82.146.60.212/contacts/?utm_source=test	yes	5	PASS
/agregator/bez-api-kvesthunter	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	6	PASS
/agregator/bez-api-kvesttam	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	7	PASS
/aimg	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	8	PASS
/alias-block	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	9	PASS
/alkatraz-hunter	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	10	PASS
/alkatraz-kvesttam	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	11	PASS
/annabel-hunter	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	12	PASS
/annabel-kvesttam	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	13	PASS
/bank-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	yes	14	PASS
/bank-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	yes	15	PASS
/dikiy-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	yes	16	PASS
/dikiy-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	yes	17	PASS
/drakula-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_zamok_drakuly/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_zamok_drakuly/?utm_source=test	yes	18	PASS
/error	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	19	PASS
