kind	page	pageStatus	asset	assetStatus	assetBytes	contentType	result
home	/	200	/assets/optim.tildacdn.com/tild3030-3032-4366-b139-373938643134/-/format/webp/_005.png.webp	200	65168	image/webp	PASS
catalog	/kvesty-v-rostove-na-donu/	200	/assets/fnaf/hero-1600.webp	200	47048	image/webp	PASS
quest	/fnaf/	200	/assets/fnaf/hero-1600.webp	200	47048	image/webp	PASS
category	/strashnye-kvesty/	200	/assets/optim.tildacdn.com/tild3134-3362-4339-a262-323433306137/-/format/webp/image-6-2.png.webp	200	76449	image/webp	PASS
info	/contacts/	200	/assets/optim.tildacdn.com/tild3463-3931-4833-b565-346437376365/-/format/webp/_GPT_light.png.webp	200	6758	image/webp	PASS
holiday	/new-year/	200	/assets/optim.tildacdn.com/tild3134-6239-4833-a138-616235643735/-/format/webp/_DSC3759.jpg.webp	200	81175	image/webp	PASS
venue	/40letpobedy216/	200	/assets/q/7f30fa4ea5.webp	200	163102	image/webp	PASS
venue	/magnitogorskaya1/	200	/assets/q/5a83be0b23.webp	200	142368	image/webp	PASS
venue	/mira27/	200	/assets/q/b440a38aea.webp	200	248504	image/webp	PASS
venue	/nagibina14/	200	/assets/q/7ca24718c3.webp	200	36888	image/webp	PASS
venue	/nansena107/	200	/assets/q/01585eb2e0.webp	200	363494	image/webp	PASS
venue	/sokolova23/	200	/assets/q/350ba9c163.webp	200	347496	image/webp	PASS
