source	path	run	status	size_bytes	ttfb_ms	total_ms
dev-server	/	1	200	1301956	19.389	247.118
dev-server	/	2	200	1301956	21.681	233.037
dev-server	/	3	200	1301956	19.513	210.126
dev-server	/	4	200	1301956	20.193	207.588
dev-server	/	5	200	1301956	19.135	194.116
dev-server	/prazdniki-pod-kluch/	1	200	2632846	20.615	369.706
dev-server	/prazdniki-pod-kluch/	2	200	2632846	19.361	339.279
dev-server	/prazdniki-pod-kluch/	3	200	2632846	19.858	303.393
dev-server	/prazdniki-pod-kluch/	4	200	2632846	19.842	289.85
dev-server	/prazdniki-pod-kluch/	5	200	2632846	19.849	289.024
dev-server	/roblox-land/	1	200	1677019	20.815	172.168
dev-server	/roblox-land/	2	200	1677019	18.969	174.216
dev-server	/roblox-land/	3	200	1677019	19.35	171.913
dev-server	/roblox-land/	4	200	1677019	19.138	162.878
dev-server	/roblox-land/	5	200	1677019	20.591	161.29
moscow-server-loopback	/	1	200	1301956	0.823	1.865
moscow-server-loopback	/	2	200	1301956	1.081	2.244
moscow-server-loopback	/	3	200	1301956	0.946	2.115
moscow-server-loopback	/	4	200	1301956	0.823	1.78
moscow-server-loopback	/	5	200	1301956	0.734	1.677
moscow-server-loopback	/prazdniki-pod-kluch/	1	200	2632846	0.952	2.506
moscow-server-loopback	/prazdniki-pod-kluch/	2	200	2632846	0.93	2.89
moscow-server-loopback	/prazdniki-pod-kluch/	3	200	2632846	0.763	2.425
moscow-server-loopback	/prazdniki-pod-kluch/	4	200	2632846	0.8	2.456
moscow-server-loopback	/prazdniki-pod-kluch/	5	200	2632846	0.829	2.423
moscow-server-loopback	/roblox-land/	1	200	1677019	0.664	1.702
moscow-server-loopback	/roblox-land/	2	200	1677019	0.923	2.077
moscow-server-loopback	/roblox-land/	3	200	1677019	1.064	2.133
moscow-server-loopback	/roblox-land/	4	200	1677019	0.683	1.897
moscow-server-loopback	/roblox-land/	5	200	1677019	0.903	2.193
