# Verified source-limit exceptions after recovery pass; no image has been upscaled.
# q source: /tmp/q-second-pass-report.json; home source: /tmp/chezakvest-home-image-repair-report.json
scope,status,asset_or_group,routes,local_or_source_size,max_rendered_or_context,required_2x,verified_source,reason
"holiday","source-cap","/assets/q/a253e420c7.webp","/new-year-2025/","1600x482","1160x350 desktop; 350x440 mobile composition","2320x700 desktop; 700x880 mobile","https://optim.tildacdn.com/tild6533-3861-4134-b738-323034333730/-/format/webp/-__1-2.png.webp","Original gift background is retained locally under the required 1600px cap; foreground art is capped below half its source width."
"q","source-not-larger","/assets/q/035acdb993.webp","/patologiya/","1200x806","1200x550","2400x1100","https://static.tildacdn.com/tild3565-6165-4137-b536-353565373135/quest_stars_patologi.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/048b9c68aa.webp","/minecraft-lend/ /minecraft/","630x945","373x249","746x498","https://static.tildacdn.com/tild3466-3163-4433-b838-633538383363/photo_53572970444584.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/050196f952.webp","/among_us/ /amongus-land/ /beguschij_v_labirinte/ /garri-potter-i-kubok-ognya/ /igra-v-kalmara-lend/ /igra_v_kalmara/ /minecraft-lend/ /minecraft/ /pryatki_kids/ /pryatki_v_temnote/ /roblox-dors/ /roblox-land/ /roblox/ /wednesday-poteryannaya-dusha/ /wednesday_ukradennaya_vesch/","700x700","275x367","550x734","https://static.tildacdn.com/tild6162-6630-4636-a134-663762303236/___.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/074188b3c7.webp","/kvest_v_realnosti_koralina/","554x807","373x249","746x498","https://static.tildacdn.com/tild3335-3233-4432-b162-373762303263/IMG_3904.png","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/094cc78542.webp","/den-rozhdeniya-uznik-azkabana/","1600x787","1200x550","2400x1100","https://static.tildacdn.com/tild3266-3633-4562-b364-663035643935/Hero_1.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/0cbaa8aa0f.webp","/prazdnik-maxi/","450x450","274x274","548x548","https://static.tildacdn.com/tild3336-6130-4464-b336-336463313232/tempImageclLCMN_1.webp","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/0e1551f907.webp","/kvest_v_realnosti_koralina/","624x725","373x249","746x498","https://static.tildacdn.com/tild3731-3637-4335-b032-373935646366/IMG_4030.png","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/10518340b1.webp","/den-rozhdeniya-na-vr-arene/","1600x678","1200x550","2400x1100","https://static.tildacdn.com/tild6565-3663-4230-b338-636363623031/_.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/12c397675d.webp","/kvest_v_realnosti_zapad/","110x117","373x249","746x498","https://static.tildacdn.com/tild6566-6632-4464-b433-356630383833/Vector_Smart_Object_.png","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/156b8e14e6.webp","/new-year-2025/","600x433","373x249","746x498","https://static.tildacdn.com/tild3238-6261-4135-b662-646561666538/VR3.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/1645a1c206.webp","/prazdnik-maxi/","718x718","262x262","524x524","https://static.tildacdn.com/tild6562-3936-4534-b139-333839336261/-2.jpg","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/1b12a78689.webp","/vypusknoj-kalmar/","520x400","262x262","524x524","https://static.tildacdn.com/tild3462-6361-4331-a530-613138666131/_st_block.png","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
"q","source-not-larger","/assets/q/1e1765bf4c.webp","/kids/","700x700","262x262","524x524","https://static.tildacdn.com/tild3361-3434-4239-b839-373566653432/17653056227838269517.png","Verified origin is not larger than the existing local WebP after the 1600px long-side cap."
