slug,type,h1,venue_slugs,venue_addresses,declared_venue_slugs,mentioned_venue_slugs,age,players,duration,catalog_category,venue_groups,theme,difficulty,has_video,video_count,photo_count,content_description_chars,story_description_chars,seo_title,seo_description,seo_description_chars,explicit_price_mentions,internal_reference_source_count,referenced_by,last_modified,source_file
40letpobedy216,venue,Че За Квест на 40-летия Победы 216,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,,,,,,,,false,0,29,569,0,"Че За Квест на 40-летия Победы, 216 в Ростове-на-Дону","Квесты в Ростове-на-Дону на 40-летия Победы, 216 от компании Че За Квест. Работаем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.",145,,13,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/40letpobedy216.json
among_us,quest,Квест Амонг Ас,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,6+,2-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,3,true,1,42,2335,394,Квест в лабиринте Амонг Ас - от компании «Чё За Квест»,АмонгАс - квест-лабиринт по мотивам компьютерной игры в Ростове-на-Дону от компании Чё За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,168,,19,src/data/pages/40letpobedy216.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/magnitogorskaya1.json | src/data/pages/minecraft.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/vypusknoj-kalmar.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/among_us.json
amongus-land,holiday,КВЕСТ-ШОУ по мотивам популярной игры для вашего праздника,,,,,6+,2–24 участника,,,,amongus,,false,0,55,781,0,День рождения в стиле Амонг Ас в Ростове-на-Дону,"Детский праздник в стиле Амонг Ас в Ростове-на-Дону: квест-шоу по мотивам игры, программа под ключ для компании от 2 до 24 участников.",134,,24,src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/kids.json | src/data/pages/minecraft.json | src/data/pages/new-year.json | src/data/pages/ono.json | src/data/pages/party-games.json | src/data/pages/portal-strike-kids.json | src/data/pages/portal-strike.json | src/data/pages/portal-zombie.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/pages/zvonok.json | src/data/site.json,2026-09-03,src/data/pages/amongus-land.json
beguschij_v_labirinte,quest,Квест Бегущий в лабиринте,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,12+,2-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,,false,0,34,1474,566,Бегущий в лабиринте - страшный перфоманс от «Чё За Квест»,Бегущий в лабиринте - хоррор квест-перфоманс в Ростове-на-Дону от компании Чё За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,159,,19,src/data/pages/40letpobedy216.json | src/data/pages/among_us.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/magnitogorskaya1.json | src/data/pages/minecraft.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/beguschij_v_labirinte.json
brawl_stars,quest,Квест Бравл Старс,magnitogorskaya1,"ул. Магнитогорская, 1",magnitogorskaya1,guardeskypereulog61 | socialicheskaya186 | krasnormerskaya103 | sokolova23 | mira27 | nansena107 | magnitogorskaya1,6+,2-24,60 мин,,,,,false,0,15,554,384,Квест в реальности «Бравл Старс» - от «Чё За Квест»,Известная игра среди юных участников! Вместе с героем из Бравл Старс ваш ребенок сможет почувствовать себя частью этой игры и в жизни пройти испытания!,151,,0,,2026-08-12,src/data/pages/brawl_stars.json
contacts,info,Контакты Чё за Квест?,,,,,,,,,,,,false,0,0,96,0,Контакты для связи с Чё За Квест в Ростове-на-Дону,"Социальные сети, мессенджеры, телефоны, email, часы работы площадок органицации Чё За Квест в городе Ростов-на-Дону",115,,11,src/data/pages/40letpobedy216.json | src/data/pages/guardeskypereulog61.json | src/data/pages/kids.json | src/data/pages/krasnormerskaya103.json | src/data/pages/magnitogorskaya1.json | src/data/pages/mira27.json | src/data/pages/nagibina14.json | src/data/pages/nansena107.json | src/data/pages/socialicheskaya186.json | src/data/pages/sokolova23.json | src/data/site.json,2026-09-03,src/data/pages/contacts.json
den-rozhdeniya-na-vr-arene,holiday,День рождения на VR-арене,40letpobedy216,"ул. 40-летия Победы, 216",,40letpobedy216,,,,,,vr,,true,1,59,523,0,Отметьте День Рождения на VR-арене в Ростове-на-Дону | Че За Квест,"Организация незабываемого дня рождения на VR-арене в Ростове-на-Дону для детей и взрослых. Современное оборудование, командные игры и погружение в кибер-реальность. Рассчитайте стоимость праздника онлайн!",204,,3,src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json,2026-08-17,src/data/pages/den-rozhdeniya-na-vr-arene.json
den-rozhdeniya-uznik-azkabana,holiday,60 минут приключения + банкетная зона на 12 человек в Ростове-на-Дону,nagibina14,"пр-т Нагибина, 14а",,nagibina14,7+,2–8 игроков,60 мин.,,,azkaban,,false,0,42,1686,0,Детский праздник с квестом «Узник Азкабана» в Ростове-на-Дону — Чё за квест,"Детский день рождения с квестом на 60 минут и банкетной зоной внутри квеста (до 12 гостей). Ростов-на-Дону, пр-т Нагибина, 14а.",127,,23,src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/kids.json | src/data/pages/minecraft.json | src/data/pages/ono.json | src/data/pages/party-games.json | src/data/pages/portal-strike-kids.json | src/data/pages/portal-strike.json | src/data/pages/portal-zombie.json | src/data/pages/prazdnik-maxi.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/pages/zvonok.json | src/data/site.json,2026-08-12,src/data/pages/den-rozhdeniya-uznik-azkabana.json
fnaf,quest,5 ночей с Фредди,magnitogorskaya1,"ул. Магнитогорская, 1",magnitogorskaya1,magnitogorskaya1,10+,4-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,,false,0,27,1583,679,Квест в стиле 5 ночей с Фредди в Ростове-на-Дону,5 ночей с Фредди - квест в стиле популярной игры в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,163,,3,src/data/pages/magnitogorskaya1.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/fnaf.json
garri-potter-i-kubok-ognya,quest,Квест Гарри Поттер и Кубок огня,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,9+,2-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,,false,0,35,1343,435,Квест для детей Гарри Поттер и Кубок огня в Ростове-на-Дону,Квест Гарри Поттер и Кубок Огня от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,146,,20,src/data/pages/40letpobedy216.json | src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/fnaf.json | src/data/pages/igra_v_kalmara.json | src/data/pages/magnitogorskaya1.json | src/data/pages/minecraft.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/vypusknoj-kalmar.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/garri-potter-i-kubok-ognya.json
