slug,path,type,template_cluster,status,kw_freq,kw_priority,words,title,title_len,description,description_len,h1,url,snapshot
index,/,home,,done,123434,P0,1470,Че За Квест – квесты в Ростове-на-Дону,38,"Официальный сайт организации Чё за Квест – сети квест-румов в Ростове-на-Дону. Приключения, шоу, интересные квесты, их адреса, часы работы, отзывы, цены на квесты.",163,Чё за Квест —незабываемые квесты в Ростове-на-Дону,https://xn--80aehcht5ci1b.xn--p1ai/,
strashnye-kvesty,/strashnye-kvesty,category,7,done,8705,P0,1160,Страшные квесты в Ростове,25, ,1,Страшные квесты в Ростове-на-Дону,https://xn--80aehcht5ci1b.xn--p1ai/strashnye-kvesty,work/raw/pages/strashnye-kvesty--131ed75eea.html
kvesty-v-rostove-na-donu,/kvesty-v-rostove-na-donu,category,catalog,done,0,,27,Квесты в Ростове-на-Дону — каталог | Чё за Квест,48,"Квесты в Ростове-на-Дону: каталог из 40 игр, VR, пряток и хоррор-сценариев для детей и взрослых. Выберите формат, тему и площадку.",130,Квесты в Ростове-на-Дону,https://xn--80aehcht5ci1b.xn--p1ai/kvesty-v-rostove-na-donu,
kids,/kids,holiday,4,done,19015,"P0,P1,P2",2042,"День рождения для ребенка в Ростове-на-Дону, цены, программы",60,"День рождения — это особенный момент в жизни каждого человека. Провести его незабываемо и с комфортом можно в студии праздников, где все внимание уделяется только вам и вашим близким. Мы предлагаем полный комплекс услуг «под ключ», который сделает ваш праздник волшебным.",271,Подарите ребёнку приключение в квесте,https://xn--80aehcht5ci1b.xn--p1ai/kids,work/raw/pages/kids--d83abf9788.html
prazdnik-maxi,/prazdnik-maxi,holiday,11,done,47,"P0,P1",1992,Премиальный детский день рождения в Ростове-на-Дону под ключ | Чё за Квест,74,"Премиальный детский праздник в Ростове-на-Дону на 3 часа: квест в лабиринте, банкет, две шоу-программы, стена-кидалка, вынос торта, комната для родителей и подарки гостям. Стоимость — 30 900 ₽ за 8 детей.",204,Яркий детский день рождения в Ростове,https://xn--80aehcht5ci1b.xn--p1ai/prazdnik-maxi,work/raw/pages/prazdnik-maxi--a80f8c91ad.html
den-rozhdeniya-uznik-azkabana,/den-rozhdeniya-uznik-azkabana,holiday,8,done,0,,1556,Детский праздник с квестом «Узник Азкабана» в Ростове-на-Дону — Чё за квест,75,"Детский день рождения с квестом на 60 минут и банкетной зоной внутри квеста (до 12 гостей). Ростов-на-Дону, пр-т Нагибина, 14а.",127,60 минут приключения + банкетная зона на 12 человек в Ростове-на-Дону,https://xn--80aehcht5ci1b.xn--p1ai/den-rozhdeniya-uznik-azkabana,work/raw/pages/den-rozhdeniya-uznik-azkabana--2d192035b0.html
den-rozhdeniya-na-vr-arene,/den-rozhdeniya-na-vr-arene,holiday,9,done,0,P0,1314,Отметьте День Рождения на VR-арене в Ростове-на-Дону | Че За Квест,66,"Организация незабываемого дня рождения на VR-арене в Ростове-на-Дону для детей и взрослых. Современное оборудование, командные игры и погружение в кибер-реальность. Рассчитайте стоимость праздника онлайн!",204,День рождения на VR-арене,https://xn--80aehcht5ci1b.xn--p1ai/den-rozhdeniya-na-vr-arene,work/raw/pages/den-rozhdeniya-na-vr-arene--c7e048b37c.html
vypusknoj-kalmar,/vypusknoj-kalmar,holiday,5,done,0,,915,"Выпускной 2026 в стиле сериала ""Игра в кальмара"" в Ростове-на-Дону | от 2700 руб. за ребенка",92,"Выпускной под ключ в Ростове-на-Дону. Квест ""Игра в кальмара"" на детский выпускной.",83,Выпускные 2026,https://xn--80aehcht5ci1b.xn--p1ai/vypusknoj-kalmar,work/raw/pages/vypusknoj-kalmar--276a42bbdb.html
new-year,/new-year,holiday,active-hidden,done,0,P0,716,"Новый год в Чё За Квест в Ростове-на-Дону, цены, программы",58,"День рождения — это особенный момент в жизни каждого человека. Провести его незабываемо и с комфортом можно в студии праздников, где все внимание уделяется только вам и вашим близким. Мы предлагаем полный комплекс услуг «под ключ», который сделает ваш праздник волшебным.",271,Новогодний праздник для школьников,https://xn--80aehcht5ci1b.xn--p1ai/new-year,
igra-v-kalmara-lend,/igra-v-kalmara-lend,holiday,active-hidden,done,0,P1,653,"Детский день рождения в стиле сериала ""Игра в кальмара"" в Ростове-на-Дону | Скидки и Акции",90,"День рождения под ключ в Ростове-на-Дону. Квест ""Игра в кальмара"" на детский праздник.",86,Детские праздники и дни рождения в стиле сериала «Игра в Кальмара» в Ростове-на-Дону,https://xn--80aehcht5ci1b.xn--p1ai/igra-v-kalmara-lend,
roblox-land,/roblox-land,holiday,active-hidden,done,0,P1,637,Детский день рождения в стиле игры ROBLOX в Ростове-на-Дону | Скидки и Акции,76,День рождения под ключ в Ростове-на-Дону. Квест-шоу РОБЛОКС на детский праздник.,80,КВЕСТ-ШОУ по мотивам популярной игры для вашего праздника,https://xn--80aehcht5ci1b.xn--p1ai/roblox-land,
prazdniki-pod-kluch,/prazdniki-pod-kluch,holiday,active-hidden,done,0,,549,Детский день рождения под ключ в Ростове-на-Дону| Скидки и Акции,64,День рождения под ключ в студии праздников,42,Детские праздники и дни рождения,https://xn--80aehcht5ci1b.xn--p1ai/prazdniki-pod-kluch,_capture/pages/prazdniki-pod-kluch.json
amongus-land,/amongus-land,holiday,active-hidden,done,0,P2,486,Детский день рождения в стиле игры ROBLOX в Ростове-на-Дону | Скидки и Акции,76,День рождения под ключ в Ростове-на-Дону. Квест-шоу РОБЛОКС на детский праздник.,80,КВЕСТ-ШОУ по мотивам популярной игры для вашего праздника,https://xn--80aehcht5ci1b.xn--p1ai/amongus-land,
minecraft-lend,/minecraft-lend,holiday,active-hidden,done,0,P1,459,"Детский день рождения в стиле ""Майнкрафт"" в Ростове-на-Дону | Скидки и Акции",76,День рождения под ключ в Ростове-на-Дону. Шоу Майнкрафт на детский праздник.,76,Незабываемый праздник в настоящем квесте с любимыми героями,https://xn--80aehcht5ci1b.xn--p1ai/minecraft-lend,
40letpobedy216,/40letpobedy216,venue,1,done,0,,1333,"Че За Квест на 40-летия Победы, 216 в Ростове-на-Дону",53,"Квесты в Ростове-на-Дону на 40-летия Победы, 216 от компании Че За Квест. Работаем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.",145,Че За Квест на 40-летия Победы 216,https://xn--80aehcht5ci1b.xn--p1ai/40letpobedy216,work/raw/pages/40letpobedy216--c4313aeae0.html
magnitogorskaya1,/magnitogorskaya1,venue,1,done,0,,1324,Че За Квест на Магнитогорской 1 в Ростове-на-Дону,49,Квесты в Ростове-на-Дону на улице Магнитогорской 1 от компании Че За Квест. Работаем без выходных с 10:00 до 01:00 Записывайтесь на игру на сайте.,146,Че За Квест на Магнитогорской 1,https://xn--80aehcht5ci1b.xn--p1ai/magnitogorskaya1,work/raw/pages/magnitogorskaya1--eebe7f4946.html
nagibina14,/nagibina14,venue,3,done,0,,1227,Че За Квест на Нагибина 14а в Ростове-на-Дону,45,Квесты в Ростове-на-Дону на проспекте Михаила Нагибина 14а от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,155,Че За Квест на проспекте Михаила Нагибина 14а,https://xn--80aehcht5ci1b.xn--p1ai/nagibina14,work/raw/pages/nagibina14--bbe8967123.html
guardeskypereulog61,/guardeskypereulog61,venue,3,done,0,,1219,Чё За Квест Гвардейский переулок 61 в Ростове-на-Дону,53,Квесты в Ростове-на-Дону на перулке Гвардейский 61 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,147,Че За Квест на Гвардейском 61,https://xn--80aehcht5ci1b.xn--p1ai/guardeskypereulog61,work/raw/pages/guardeskypereulog61--f08623d5f0.html
sokolova23,/sokolova23,venue,3,done,0,,1185,Че За Квест на Соколова 23 в Ростове-на-Дону,44,Квесты в Ростове-на-Дону на проспекте Соколова 23 от компании Че За Квест. Работем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.,145,Чё за Квест на Соколова 23,https://xn--80aehcht5ci1b.xn--p1ai/sokolova23,work/raw/pages/sokolova23--79bb26a3c5.html
krasnormerskaya103,/krasnormerskaya103,venue,3,done,0,,1182,Че За Квест на Красноармейской 103 в Ростове-на-Дону,52,Квесты в Ростове-на-Дону на проспекте Красноармейской 103 от компании Че За Квест. Работем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.,153,Че За Квест на Красноармейской 103,https://xn--80aehcht5ci1b.xn--p1ai/krasnormerskaya103,work/raw/pages/krasnormerskaya103--97592bb1e5.html
socialicheskaya186,/socialicheskaya186,venue,3,done,0,,1158,Че За Квест на Социалистической 186 в Ростове-на-Дону,53,Квесты в Ростове-на-Дону на Социалистической 186 от компании Че За Квест. Работем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.,144,Че За Квест на Социалистической 186,https://xn--80aehcht5ci1b.xn--p1ai/socialicheskaya186,work/raw/pages/socialicheskaya186--7507f2f208.html
nansena107,/nansena107,venue,3,done,0,,807,Че За Квест на Нансена 107/1 в Ростове-на-Дону,46,Квесты в Ростове-на-Дону на улице Нансена 107/1 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,Че За Квест на Нансена 107/1,https://xn--80aehcht5ci1b.xn--p1ai/nansena107,work/raw/pages/nansena107--8a71a09768.html
mira27,/mira27,venue,3,done,0,,795,Че За Квест на Мира 27 в Ростове-на-Дону,40,Квесты в Ростове-на-Дону на улице Мира 27 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,138,Че За Квест на проспекте Мира 27,https://xn--80aehcht5ci1b.xn--p1ai/mira27,work/raw/pages/mira27--dee60e285c.html
portal-strike,/portal-strike,vr,1,done,0,,1678,VR-игра PORTAL STRIKE,21,"Приготовьтесь к захватывающим битвам с друзьями в Portal Strike! Эта игра представляет собой динамичный командный шутер в виртуальной реальности, напоминающий лазертаг, но с элементами, похожими на Counter-Strike. Разделитесь на команды или играйте каждый сам за себя, цель остаётся одной — уничтожить противника!",313,PORTAL STRIKE,https://xn--80aehcht5ci1b.xn--p1ai/portal-strike,work/raw/pages/portal-strike--9360d78655.html
portal-zombie,/portal-zombie,vr,1,done,0,,1670,VR-игра PORTAL ZOMBIE,21,"Совместная игра в жанре хоррор от первого лица, действие которой разворачивается в старом заброшенном особняке, подвергшемся нападению орд зомби. Объединяйтесь с друзьями, переживите многочисленные волны атак зомби и сразитесь с могущественным боссом, чтобы победить!",267,PORTAL ZOMBIE,https://xn--80aehcht5ci1b.xn--p1ai/portal-zombie,work/raw/pages/portal-zombie--4bfcfe4a84.html
party-games,/party-games,vr,1,done,0,,1666,VR-игра PARTY GAMES,19,"Коллекция казуальных игр, разработанных специально для детей от 6 лет. Пять мини-игр с уникальной и в то же время простой механикой, тщательно проработанными картами и захватывающим и разнообразным геймплеем.",208,PARTY GAMES,https://xn--80aehcht5ci1b.xn--p1ai/party-games,work/raw/pages/party-games--8254986ae4.html
portal-strike-kids,/portal-strike-kids,vr,1,done,0,,1662,VR-игра PORTAL STRIKE KIDS,26,"Яркий PvP-шутер в аркадном стиле для свободного перемещения по виртуальным аренам, созданный для поклонников красочных миров, эстетики, вдохновленной Fortnite, и культовых персонажей.",183,PORTAL STRIKE KIDS,https://xn--80aehcht5ci1b.xn--p1ai/portal-strike-kids,work/raw/pages/portal-strike-kids--c362f895f7.html
ono,/ono,quest,1,done,0,,1952,Хоррор квест ОНО в Ростове-на-Дону,34,"Квест ОНО - хоррор от компании Чё За Квест в Ростове-на-Дону. Думаете, что попали в цирк ? Наш клоун докажет обратное . Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.",191,Квест ОНО,https://xn--80aehcht5ci1b.xn--p1ai/ono,work/raw/pages/ono--1a5b77dde4.html
tekhasskaya-reznya-benzopiloj,/tekhasskaya-reznya-benzopiloj,quest,1,done,0,,1937,Хоррор квест Техасская резня бензопилой -в Ростове-на-Дону,58,Страшный квест Техасская резня бензопилой - хоррор от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,165,Квест Техасская резня бензопилой,https://xn--80aehcht5ci1b.xn--p1ai/tekhasskaya-reznya-benzopiloj,work/raw/pages/tekhasskaya-reznya-benzopiloj--7c1d794d3c.html
roblox-dors,/roblox-dors,quest,2,done,0,,1933,Квест в стиле Роблокс Дорс в Ростове-на-Дону,44,Квест Роблокс в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё За Квест.,126,Квест в стиле Роблокс. Дорс,https://xn--80aehcht5ci1b.xn--p1ai/roblox-dors,work/raw/pages/roblox-dors--dbe64bd6cc.html
pryatki_v_temnote,/pryatki_v_temnote,quest,1,done,0,,1913,«Прятки в темноте» Квест-лабиринт в Ростове-на-Дону,51,Прятки в темноте - квест в тёмном лабиринте от компании Чё за Квест. Ростов-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,156,Квест Прятки в темноте,https://xn--80aehcht5ci1b.xn--p1ai/pryatki_v_temnote,work/raw/pages/pryatki_v_temnote--88173ce542.html
beguschij_v_labirinte,/beguschij_v_labirinte,quest,2,done,0,,1912,Бегущий в лабиринте - страшный перфоманс от «Чё За Квест»,57,Бегущий в лабиринте - хоррор квест-перфоманс в Ростове-на-Дону от компании Чё За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,159,Квест Бегущий в лабиринте,https://xn--80aehcht5ci1b.xn--p1ai/beguschij_v_labirinte,work/raw/pages/beguschij_v_labirinte--bfe9c87e39.html
roblox,/roblox,quest,2,done,0,P1,1912,Квест в стиле Роблокс. Радужные Друзья в Ростове-на-Дону,56,Роблокс - квест в стиле популярной игры в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,154,Квест в стиле Роблокс. Радужные Друзья,https://xn--80aehcht5ci1b.xn--p1ai/roblox,work/raw/pages/roblox--16323e79fb.html
pryatki_kids,/pryatki_kids,quest,1,done,0,,1909,Квест в темноте Прятки KIDS в Ростове-на-Дону,45,Прятки KIDS - квест в темноте в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,Квест Прятки KIDS,https://xn--80aehcht5ci1b.xn--p1ai/pryatki_kids,work/raw/pages/pryatki_kids--6ebd0f1dea.html
