url,http_orig,in_sitemap,hidden,route_clone,redirect_to,verdict,sources,http_location,fetch_error
https://xn--80aehcht5ci1b.xn--p1ai/,200,true,false,/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/40letpobedy216,200,true,false,/40letpobedy216/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/agent,200,false,true,,/contacts/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/agregator/bez-api-kvesthunter,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/agregator/bez-api-kvesttam,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/aimg,200,false,true,,/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/alcatraz,404,false,false,,,dead_orig,crawl,,
https://xn--80aehcht5ci1b.xn--p1ai/alias-block,200,false,true,,/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/alkatraz-hunter,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/alkatraz-kvesttam,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/among_us,200,true,false,/among_us/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/amongus-land,200,false,true,/amongus-land/,,ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/annabel-hunter,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/annabel-kvesttam,200,false,true,,/kvesty-v-rostove-na-donu/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/bank-hunter,200,false,true,,/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/bank-kvesttam,200,false,true,,/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/beguschij_v_labirinte,200,true,false,/beguschij_v_labirinte/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/brawl_stars,200,true,false,/brawl_stars/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/business12,404,false,true,,,dead_orig,robots,,
https://xn--80aehcht5ci1b.xn--p1ai/contacts,200,true,false,/contacts/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/cpsihbolnitsa,404,false,false,,,dead_orig,crawl,,
https://xn--80aehcht5ci1b.xn--p1ai/den-rozhdeniya-na-vr-arene,200,true,false,/den-rozhdeniya-na-vr-arene/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/den-rozhdeniya-uznik-azkabana,200,true,false,/den-rozhdeniya-uznik-azkabana/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/dikiy-hunter,200,false,true,,/kvest_v_realnosti_zapad/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/dikiy-kvesttam,200,false,true,,/kvest_v_realnosti_zapad/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/dr1,404,false,true,,,dead_orig,robots,,
https://xn--80aehcht5ci1b.xn--p1ai/drakula-kvesttam,200,false,true,,/kvest_v_realnosti_zamok_drakuly/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/error,200,false,true,,/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/fantom-hunter,200,false,true,,/kvest_v_realnosti_fantom/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/fantom-kvesttam,200,false,true,,/kvest_v_realnosti_fantom/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/garri-hunter,200,false,true,,/kvest_v_realnosti_garri_potter_/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/garri-kvesttam,200,false,true,,/kvest_v_realnosti_garri_potter_/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/garri-potter-i-kubok-ognya,200,true,false,/garri-potter-i-kubok-ognya/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/guardeskypereulog61,200,true,false,/guardeskypereulog61/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/header,200,false,true,,/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/hostel-podval-pytok,200,true,false,/hostel-podval-pytok/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/igra_v_kalmara,200,true,false,/igra_v_kalmara/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/igra-v-kalmara-lend,200,false,true,/igra-v-kalmara-lend/,,ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/indiana,200,true,false,/indiana/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kids,200,true,false,/kids/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kids_spasibo,200,false,true,,/kids/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/krasnormerskaya103,200,true,false,/krasnormerskaya103/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/krestrazh-hunter,200,false,true,,/kvest_v_realnosti_harry_potter_i_krestrazh/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/krestrazh-kvesttam,200,false,true,,/kvest_v_realnosti_harry_potter_i_krestrazh/,redirect_ok,crawl|hidden_csv|legacy_map|robots,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_alcatraz,404,false,false,,,dead_orig,crawl,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_dom_prizrakov,200,true,false,/kvest_v_realnosti_dom_prizrakov/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_fantom,200,true,false,/kvest_v_realnosti_fantom/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_garri_potter_,200,true,false,/kvest_v_realnosti_garri_potter_/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_harry_potter_i_krestrazh,200,true,false,/kvest_v_realnosti_harry_potter_i_krestrazh/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_koralina,200,true,false,/kvest_v_realnosti_koralina/,,ok,crawl|sitemap,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_madagaskar,404,false,false,,,dead_orig,crawl,,
https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_noch_v_museum_ograblenie,200,true,false,/kvest_v_realnosti_noch_v_museum_ograblenie/,,ok,crawl|sitemap,,
