url,sections_orig,sections_clone,missing_sections,missing_texts,missing_images,px_1440,px_390,h_orig_1440,h_clone_1440,h_orig_390,h_clone_390,overflow_390,console_errors,external_requests,failed_requests,verdict,fixed,broken_links,missing_img_dimensions,first_screen_lazy,seo_match,headings_match,height_delta_1440,height_delta_390,visual_scope,round,notes
/,26/26,26/26,,,,97.305,96.215,10982,11003,20431,20458,0,0,0,0,pass,,,0,0,true,true,0.19,0.13,page,89,"metric masks: map, reviews"
/40letpobedy216/,23/23,23/23,,,,98.1,92.6,6015,6018,10479,10482,0,0,0,0,pass,,,0,0,true,true,0.05,0.03,page,89,"metric masks: map, reviews"
/among_us/,27/27,27/27,,,,98.94,92.66,6598,6601,8504,8508,0,0,0,0,pass,,,0,0,true,true,0.05,0.05,page,89,"metric masks: booking, map"
/amongus-land/,18/18,18/18,,,,95.66,90.75,8106,8106,13265,13265,0,0,0,0,pass,,,0,0,true,true,0,0,page,89,"metric masks: map, reviews"
/beguschij_v_labirinte/,27/27,27/27,,,,97.72,92.73,6744,6747,8808,8812,0,0,0,0,pass,,,0,0,true,true,0.04,0.05,page,89,"metric masks: booking, map"
/brawl_stars/,21/21,21/21,,,,98.32,97.17,4744,4747,6987,6990,0,0,0,0,pass,,,0,0,true,true,0.06,0.04,page,89,"metric masks: booking, map"
/contacts/,12/12,12/12,,,,99.595,99.10499999999999,1531,1534,2753,2756,0,0,0,0,pass,,,0,0,true,true,0.2,0.11,page,89,metric masks: map
/den-rozhdeniya-na-vr-arene/,24/24,24/24,,,,96.665,88.45,6850,6850,9048,9050,0,0,0,0,pass,,,0,0,true,true,0,0.02,page,89,"metric masks: map, reviews"
/den-rozhdeniya-uznik-azkabana/,34/34,34/34,,,,98.25999999999999,92.43,9184,9184,12332,12347,0,0,0,0,pass,,,0,0,true,true,0,0.12,page,89,"metric masks: map, reviews"
/garri-potter-i-kubok-ognya/,27/27,27/27,,,,98.86,92.7,6607,6610,8472,8475,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/guardeskypereulog61/,20/20,20/20,,,,97.46000000000001,91.325,4072,4075,5803,5806,0,0,0,0,pass,,,0,0,true,true,0.07,0.05,page,89,"metric masks: map, reviews"
/hostel-podval-pytok/,18/18,17/18,,,,97.59,95.06,4506,4509,5781,5784,0,0,0,0,pass,,,0,0,true,true,0.07,0.05,page,89,"metric masks: booking, map"
/igra_v_kalmara/,27/27,27/27,,,,97.72,95.11,6653,6656,8681,8684,0,0,0,0,pass,,,0,0,true,true,0.05,0.03,page,89,"metric masks: booking, map"
/igra-v-kalmara-lend/,21/21,21/21,,,,93.29,90.3,7499,7499,11054,11055,0,0,0,0,pass,,,0,0,true,true,0,0.01,page,89,"metric masks: map, reviews"
/indiana/,24/24,24/24,,,,97.695,92.555,6151,6154,6846,6849,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kids/,44/44,44/44,,,,97.535,92.235,13846,13849,13264,13269,0,0,0,0,pass,,,0,0,true,true,0.02,0.04,page,89,"metric masks: map, reviews"
/krasnormerskaya103/,20/20,20/20,,,,97.11,91.445,4002,4005,5983,5986,0,0,0,0,pass,,,0,0,true,true,0.07,0.05,page,89,"metric masks: map, reviews"
/kvest_v_realnosti_dom_prizrakov/,24/24,24/24,,,,98.655,93.61,6307,6310,7527,7530,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_fantom/,20/20,20/20,,,,98.25999999999999,93.235,5347,5350,6526,6529,0,0,0,0,pass,,,0,0,true,true,0.06,0.05,page,89,"metric masks: booking, map"
/kvest_v_realnosti_garri_potter_/,24/24,24/24,,,,98.14,96.3,6284,6287,7503,7506,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_harry_potter_i_krestrazh/,24/24,24/24,,,,97.695,93.145,6107,6110,7013,7016,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_koralina/,24/24,24/24,,,,98.28,94.425,5895,5898,7487,7490,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_noch_v_museum_ograblenie/,24/24,24/24,,,,97.7,92.56,6052,6055,7065,7068,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/,24/24,24/24,,,,97.905,95.88499999999999,6216,6219,7441,7444,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_psihbolnitsa/,24/24,24/24,,,,98.72,94.905,5830,5833,7153,7156,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_sherlock_holms/,24/24,24/24,,,,98.66499999999999,93.015,6219,6222,6980,6983,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_wednesday/,24/24,24/24,,,,97.7,92.72,6171,6174,6802,6805,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_zamok_drakuly/,24/24,24/24,,,,98.48,93.64500000000001,5705,5708,6977,6980,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/kvest_v_realnosti_zapad/,17/17,17/17,,,,95.34,92.04,4793,4796,5503,5506,0,0,0,0,pass,,,0,0,true,true,0.06,0.05,page,89,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild3936-3432-4332-b434-343961633161"
/kvesty-v-rostove-na-donu/,7/7,3/3,rec1195214746 | наши площадки | extra:квесты в ростове на дону,верните меня на главную | наши площадки,,81.905,85.405,1585,7388,2476,17170,0,0,0,0,extra_clone,,,0,0,false,false,366.12,593.46,extra_clone,89,Astro-only additional route; live source captured for evidence.; metric masks: map
/magnitogorskaya1/,22/22,22/22,,,,98.1,92.24000000000001,5628,5631,9810,9813,0,0,0,0,pass,,,0,0,true,true,0.05,0.03,page,89,"metric masks: map, reviews"
/minecraft-lend/,21/21,21/21,,,,91.96,91.55,7116,7116,11290,11291,0,0,0,0,pass,,,0,0,true,true,0,0.01,page,89,"metric masks: map, reviews"
/minecraft/,27/27,27/27,,,,97.76,93.76,6836,6839,8696,8699,0,0,0,0,pass,,,0,0,true,true,0.04,0.03,page,89,"metric masks: booking, map"
/mira27/,15/15,15/15,,,,98.08,93.6,2586,2589,3682,3685,0,0,0,0,pass,,,0,0,true,true,0.12,0.08,page,89,"metric masks: map, reviews"
/mystery_shack/,25/25,25/25,,,,98.2,92.31,6502,6505,6806,6809,0,0,0,0,pass,,,0,0,true,true,0.05,0.04,page,89,"metric masks: booking, map"
/nagibina14/,18/18,18/18,,,,97.31,90.97,4248,4251,7013,7016,0,0,0,0,pass,,,0,0,true,true,0.07,0.04,page,89,"metric masks: map, reviews"
/nansena107/,15/15,15/15,,,,97.75,91.75,2586,2589,4072,4075,0,0,0,0,pass,,,0,0,true,true,0.12,0.07,page,89,"metric masks: map, reviews"
/new-year-2025/,35/35,35/35,,,,95.26,90.96,9123,9126,11560,11564,0,0,0,0,redirect_ok,,,0,0,true,true,0.03,0.03,redirect,89,"visual target /new-year/; metric masks: map, reviews"
/new-year/,35/35,35/35,,,,95.26,91.06,9123,9126,11560,11564,0,0,0,0,pass,,,0,0,true,true,0.03,0.03,page,89,"metric masks: map, reviews"
/ono/,28/28,28/28,,,,98.44,93.22,6790,6793,8661,8665,0,0,0,0,pass,,,0,0,true,true,0.04,0.05,page,89,"metric masks: booking, map"
/party-games/,26/26,26/26,,,,98.92,93.08500000000001,6317,6320,8016,8020,0,0,0,0,pass,,,0,0,true,true,0.05,0.05,page,89,"metric masks: booking, map"
/patologiya/,16/16,15/16,,,,97.45,95.5,3758,3761,5245,5248,0,0,0,0,pass,,,0,0,true,true,0.08,0.06,page,89,"metric masks: booking, map"
