url,sections_orig,sections_clone,missing_sections,missing_texts,missing_images,px_1440,px_390,h_orig_1440,h_clone_1440,h_orig_390,h_clone_390,overflow_390,console_errors,external_requests,failed_requests,verdict,fixed,broken_links,missing_img_dimensions,first_screen_lazy,seo_match,headings_match,height_delta_1440,height_delta_390,visual_scope,round,notes
/,24/25,20/20,,,,58.370000000000005,57.02,10982,11104,20431,21108,0,0,0,0,needs_fix,,,0,0,true,true,1.11,3.31,page,31,"metric masks: map, reviews"
/40letpobedy216/,22/22,9/9,,,,70.57,61.7,6015,5413,10479,10196,0,0,0,0,needs_fix,,,0,0,true,true,10.01,2.7,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/among_us/,25/25,13/13,extra:как у нас проходят праздники,,,64.66,62.739999999999995,6598,7352,8504,9113,0,0,0,0,needs_fix,,,0,0,true,true,11.43,7.16,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/amongus-land/,17/17,16/17,,дети всегда под,,14.96,12.39,8106,8106,13265,13265,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild3630-3365-4161-b439-353039346262 | tild3564-3962-4361-b561-303431343737 | tild3833-3332-4162-b139-306565346233 | +6"
/beguschij_v_labirinte/,26/26,12/12,,,,71.89500000000001,60.295,6744,6120,8808,8095,0,0,0,0,needs_fix,,,0,0,true,true,9.25,8.09,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/brawl_stars/,19/20,10/10,extra:top,уэнздей новая битва,,74.13,68.47,4744,4512,6987,6355,0,0,0,0,needs_fix,,,0,0,true,true,4.89,9.05,page,31,"metric masks: booking, map"
/contacts/,11/11,3/3,,,,80.85,86.35,1531,1369,2753,2596,0,0,0,0,needs_fix,,,0,0,true,true,10.58,5.7,page,31,metric masks: map
/den-rozhdeniya-na-vr-arene/,23/23,23/23,,взрослый день рождения,,64.15,59.29,6850,6850,9048,9048,0,0,0,0,needs_fix,,,0,0,false,false,0,0,page,31,"metric masks: map, reviews"
/den-rozhdeniya-uznik-azkabana/,33/33,33/33,,,,68.605,57.69,9184,9184,12332,12332,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6337-6433-4035-b265-333837663931"
/garri-potter-i-kubok-ognya/,26/26,12/12,,,,66.53999999999999,61.605000000000004,6607,6102,8472,7931,0,0,0,0,needs_fix,,,0,0,true,true,7.64,6.39,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/guardeskypereulog61/,18/19,7/7,,,,76.28,61.49,4072,3497,5803,5497,0,0,0,0,needs_fix,,,0,0,true,true,14.12,5.27,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/hostel-podval-pytok/,17/17,10/10,extra:как у нас проходит квест,,,64.64,62.97,4506,4389,5781,5667,0,0,0,0,needs_fix,,,0,0,true,true,2.6,1.97,page,31,"metric masks: booking, map"
/igra_v_kalmara/,26/26,13/13,extra:как у нас проходят праздники,,,67.57,61.515,6653,7374,8681,9330,0,0,0,0,needs_fix,,,0,0,true,true,10.84,7.48,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/igra-v-kalmara-lend/,20/20,20/20,extra:div.kalmar-landing-artboard__footer-bottom.kalmar-landing-artboard__record,музыкальной колонкой | холодильником и микроволновой печью | кулером с горячей и холодной водой | необходимой мебелью столы стулья диванчики | безлимитный чай кофе для вас | корпоратив | тимбилдинг,,51.82,51.12,7499,7499,11054,11054,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild3965-3930-4331-a639-613063303966"
/indiana/,23/23,12/12,,,,58.72,61.885000000000005,6151,5872,6852,6575,0,0,0,0,needs_fix,,,0,0,true,true,4.54,4.04,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163 | tild3466-6130-4564-a365-643635333331"
